Symbol,Company Name,Industry,Selected Trading Day,Open Price,Previous Trading Day,Previous High,Previous Close
ABB,ABB India Ltd.,Capital Goods,2025-06-27,6060.0,2025-06-26,6025.0,6012.5
ADANIGREEN,Adani Green Energy Ltd.,Power,2025-06-27,994.4,2025-06-26,993.5,992.0
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,2025-06-27,1434.9,2025-06-26,1433.0,1429.3
ANGELONE,Angel One Ltd.,Financial Services,2025-06-27,2917.5,2025-06-26,2915.0,2903.0
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,2025-06-27,8468.0,2025-06-26,8465.0,8433.0
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,2025-06-27,13934.0,2025-06-26,13911.86,13842.0
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,2025-06-27,2445.7,2025-06-26,2439.0,2433.3
BATAINDIA,Bata India Ltd.,Consumer Durables,2025-06-27,1226.5,2025-06-26,1224.9,1223.1
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,2025-06-27,748.2,2025-06-26,748.1,739.55
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,2025-06-27,395.0,2025-06-26,394.7,394.15
COFORGE,Coforge Ltd.,Information Technology,2025-06-27,1896.0,2025-06-26,1894.0,1888.0
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,2025-06-27,1979.0,2025-06-26,1974.2,1969.4
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,2025-06-27,14446.0,2025-06-26,14410.0,14315.0
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,2025-06-27,187.7,2025-06-26,187.2,186.79
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,2025-06-27,775.0,2025-06-26,774.75,771.6
GRAVITA,Gravita India Ltd.,Metals & Mining,2025-06-27,1830.0,2025-06-26,1819.0,1809.2
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,2025-06-27,3564.0,2025-06-26,3555.0,3541.1
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,2025-06-27,275.04,2025-06-26,273.82,272.08
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,2025-06-27,452.9,2025-06-26,450.0,448.9
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,2025-06-27,271.0,2025-06-26,269.95,269.0
MPHASIS,MphasiS Ltd.,Information Technology,2025-06-27,2810.0,2025-06-26,2809.0,2802.5
NHPC,NHPC Ltd.,Power,2025-06-27,85.8,2025-06-26,85.66,85.38
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,2025-06-27,301.05,2025-06-26,300.45,299.8
PNB,Punjab National Bank,Financial Services,2025-06-27,107.0,2025-06-26,106.54,106.25
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,2025-06-27,155.13,2025-06-26,154.78,154.39
SIEMENS,Siemens Ltd.,Capital Goods,2025-06-27,3184.0,2025-06-26,3175.0,3164.9
SBIN,State Bank of India,Financial Services,2025-06-27,805.0,2025-06-26,803.35,797.05
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,2025-06-27,685.0,2025-06-26,683.7,682.75
TATATECH,Tata Technologies Ltd.,Information Technology,2025-06-27,707.0,2025-06-26,705.6,703.55
WELSPUNLIV,Welspun Living Ltd.,Textiles,2025-06-27,144.0,2025-06-26,143.28,141.77
